"video_id","frame_index","timestamp_sec","width","height","segment_id"
"driving_01","0","0","720","480","driving_01_s01"
"driving_01","1","0.05","720","480","driving_01_s01"
"driving_01","2","0.1","720","480","driving_01_s01"
"driving_01","3","0.15","720","480","driving_01_s01"
"driving_01","4","0.2","720","480","driving_01_s01"
"driving_01","5","0.25","720","480","driving_01_s01"
"driving_01","6","0.3","720","480","driving_01_s01"
"driving_01","7","0.35","720","480","driving_01_s01"
"driving_01","8","0.4","720","480","driving_01_s01"
"driving_01","9","0.45","720","480","driving_01_s01"
"driving_01","10","0.5","720","480","driving_01_s01"
"driving_01","11","0.55","720","480","driving_01_s01"
"driving_01","12","0.6","720","480","driving_01_s01"
"driving_01","13","0.65","720","480","driving_01_s01"
"driving_01","14","0.7","720","480","driving_01_s01"
"driving_01","15","0.75","720","480","driving_01_s01"
"driving_01","16","0.8","720","480","driving_01_s01"
"driving_01","17","0.85","720","480","driving_01_s01"
"driving_01","18","0.9","720","480","driving_01_s01"
"driving_01","19","0.95","720","480","driving_01_s01"
"driving_01","20","1","720","480","driving_01_s01"
"driving_01","21","1.05","720","480","driving_01_s01"
"driving_01","22","1.1","720","480","driving_01_s01"
"driving_01","23","1.15","720","480","driving_01_s01"
"driving_01","24","1.2","720","480","driving_01_s01"
"driving_01","25","1.25","720","480","driving_01_s01"
"driving_01","26","1.3","720","480","driving_01_s01"
"driving_01","27","1.35","720","480","driving_01_s01"
"driving_01","28","1.4","720","480","driving_01_s01"
"driving_01","29","1.45","720","480","driving_01_s01"
"driving_01","30","1.5","720","480","driving_01_s01"
"driving_01","31","1.55","720","480","driving_01_s01"
"driving_01","32","1.6","720","480","driving_01_s01"
"driving_01","33","1.65","720","480","driving_01_s01"
"driving_01","34","1.7","720","480","driving_01_s01"
"driving_01","35","1.75","720","480","driving_01_s01"
"driving_01","36","1.8","720","480","driving_01_s01"
"driving_01","37","1.85","720","480","driving_01_s01"
"driving_01","38","1.9","720","480","driving_01_s01"
"driving_01","39","1.95","720","480","driving_01_s01"
"driving_01","40","2","720","480","driving_01_s01"
"driving_01","41","2.05","720","480","driving_01_s01"
"driving_01","42","2.1","720","480","driving_01_s01"
"driving_01","43","2.15","720","480","driving_01_s01"
"driving_01","44","2.2","720","480","driving_01_s01"
"driving_01","45","2.25","720","480","driving_01_s01"
"driving_01","46","2.3","720","480","driving_01_s01"
"driving_01","47","2.35","720","480","driving_01_s01"
"driving_01","48","2.4","720","480","driving_01_s01"
"driving_01","49","2.45","720","480","driving_01_s01"
"driving_01","50","2.5","720","480","driving_01_s01"
"driving_01","51","2.55","720","480","driving_01_s01"
"driving_01","52","2.6","720","480","driving_01_s01"
"driving_01","53","2.65","720","480","driving_01_s01"
"driving_01","54","2.7","720","480","driving_01_s01"
"driving_01","55","2.75","720","480","driving_01_s01"
"driving_01","56","2.8","720","480","driving_01_s01"
"driving_01","57","2.85","720","480","driving_01_s01"
"driving_01","58","2.9","720","480","driving_01_s01"
"driving_01","59","2.95","720","480","driving_01_s01"
"driving_01","60","3","720","480","driving_01_s01"
"driving_01","61","3.05","720","480","driving_01_s01"
"driving_01","62","3.1","720","480","driving_01_s01"
"driving_01","63","3.15","720","480","driving_01_s01"
"driving_01","64","3.2","720","480","driving_01_s01"
"driving_01","65","3.25","720","480","driving_01_s01"
"driving_01","66","3.3","720","480","driving_01_s01"
"driving_01","67","3.35","720","480","driving_01_s01"
"driving_01","68","3.4","720","480","driving_01_s01"
"driving_01","69","3.45","720","480","driving_01_s01"
"driving_01","70","3.5","720","480","driving_01_s01"
"driving_01","71","3.55","720","480","driving_01_s01"
"driving_01","72","3.6","720","480","driving_01_s01"
"driving_01","73","3.65","720","480","driving_01_s01"
"driving_01","74","3.7","720","480","driving_01_s01"
"driving_01","75","3.75","720","480","driving_01_s01"
"driving_01","76","3.8","720","480","driving_01_s01"
"driving_01","77","3.85","720","480","driving_01_s01"
"driving_01","78","3.9","720","480","driving_01_s01"
"driving_01","79","3.95","720","480","driving_01_s01"
"driving_01","80","4","720","480","driving_01_s01"
"driving_01","81","4.05","720","480","driving_01_s01"
"driving_01","82","4.1","720","480","driving_01_s01"
"driving_01","83","4.15","720","480","driving_01_s01"
"driving_01","84","4.2","720","480","driving_01_s01"
"driving_01","85","4.25","720","480","driving_01_s01"
"driving_01","86","4.3","720","480","driving_01_s01"
"driving_01","87","4.35","720","480","driving_01_s01"
"driving_01","88","4.4","720","480","driving_01_s01"
"driving_01","89","4.45","720","480","driving_01_s01"
"driving_01","90","4.5","720","480","driving_01_s01"
"driving_01","91","4.55","720","480","driving_01_s01"
"driving_01","92","4.6","720","480","driving_01_s01"
"driving_01","93","4.65","720","480","driving_01_s01"
"driving_01","94","4.7","720","480","driving_01_s01"
"driving_01","95","4.75","720","480","driving_01_s01"
"driving_01","96","4.8","720","480","driving_01_s01"
"driving_01","97","4.85","720","480","driving_01_s01"
"driving_01","98","4.9","720","480","driving_01_s01"
"driving_01","99","4.95","720","480","driving_01_s01"
"driving_01","100","5","720","480","driving_01_s01"
"driving_01","101","5.05","720","480","driving_01_s01"
"driving_01","102","5.1","720","480","driving_01_s01"
"driving_01","103","5.15","720","480","driving_01_s01"
"driving_01","104","5.2","720","480","driving_01_s01"
"driving_01","105","5.25","720","480","driving_01_s01"
"driving_01","106","5.3","720","480","driving_01_s01"
"driving_01","107","5.35","720","480","driving_01_s01"
"driving_01","108","5.4","720","480","driving_01_s01"
"driving_01","109","5.45","720","480","driving_01_s01"
"driving_01","110","5.5","720","480","driving_01_s01"
"driving_01","111","5.55","720","480","driving_01_s01"
"driving_01","112","5.6","720","480","driving_01_s01"
"driving_01","113","5.65","720","480","driving_01_s01"
"driving_01","114","5.7","720","480","driving_01_s01"
"driving_01","115","5.75","720","480","driving_01_s01"
"driving_01","116","5.8","720","480","driving_01_s01"
"driving_01","117","5.85","720","480","driving_01_s01"
"driving_01","118","5.9","720","480","driving_01_s01"
"driving_01","119","5.95","720","480","driving_01_s01"
"driving_01","120","6","720","480","driving_01_s01"
"driving_01","121","6.05","720","480","driving_01_s01"
"driving_01","122","6.1","720","480","driving_01_s01"
"driving_01","123","6.15","720","480","driving_01_s01"
"driving_01","124","6.2","720","480","driving_01_s01"
"driving_01","125","6.25","720","480","driving_01_s01"
"driving_01","126","6.3","720","480","driving_01_s01"
"driving_01","127","6.35","720","480","driving_01_s01"
"driving_01","128","6.4","720","480","driving_01_s01"
"driving_01","129","6.45","720","480","driving_01_s01"
"driving_01","130","6.5","720","480","driving_01_s01"
"driving_01","131","6.55","720","480","driving_01_s01"
"driving_01","132","6.6","720","480","driving_01_s01"
"driving_01","133","6.65","720","480","driving_01_s01"
"driving_01","134","6.7","720","480","driving_01_s01"
"driving_01","135","6.75","720","480","driving_01_s01"
"driving_01","136","6.8","720","480","driving_01_s01"
"driving_01","137","6.85","720","480","driving_01_s01"
"driving_01","138","6.9","720","480","driving_01_s01"
"driving_01","139","6.95","720","480","driving_01_s01"
"driving_01","140","7","720","480","driving_01_s01"
"driving_01","141","7.05","720","480","driving_01_s01"
"driving_01","142","7.1","720","480","driving_01_s01"
"driving_01","143","7.15","720","480","driving_01_s01"
"driving_01","144","7.2","720","480","driving_01_s01"
"driving_01","145","7.25","720","480","driving_01_s01"
"driving_01","146","7.3","720","480","driving_01_s01"
"driving_01","147","7.35","720","480","driving_01_s01"
"driving_01","148","7.4","720","480","driving_01_s01"
"driving_01","149","7.45","720","480","driving_01_s01"
"driving_01","150","7.5","720","480","driving_01_s01"
"driving_01","151","7.55","720","480","driving_01_s01"
"driving_01","152","7.6","720","480","driving_01_s01"
"driving_01","153","7.65","720","480","driving_01_s01"
"driving_01","154","7.7","720","480","driving_01_s01"
"driving_01","155","7.75","720","480","driving_01_s01"
"driving_01","156","7.8","720","480","driving_01_s01"
"driving_01","157","7.85","720","480","driving_01_s01"
"driving_01","158","7.9","720","480","driving_01_s01"
"driving_01","159","7.95","720","480","driving_01_s01"
"driving_01","160","8","720","480","driving_01_s01"
"driving_01","161","8.05","720","480","driving_01_s01"
"driving_01","162","8.1","720","480","driving_01_s01"
"driving_01","163","8.15","720","480","driving_01_s01"
"driving_01","164","8.2","720","480","driving_01_s01"
"driving_01","165","8.25","720","480","driving_01_s01"
"driving_01","166","8.3","720","480","driving_01_s01"
"driving_01","167","8.35","720","480","driving_01_s01"
"driving_01","168","8.4","720","480","driving_01_s01"
"driving_01","169","8.45","720","480","driving_01_s01"
"driving_01","170","8.5","720","480","driving_01_s01"
"driving_01","171","8.55","720","480","driving_01_s01"
"driving_01","172","8.6","720","480","driving_01_s01"
"driving_01","173","8.65","720","480","driving_01_s01"
"driving_01","174","8.7","720","480","driving_01_s01"
"driving_01","175","8.75","720","480","driving_01_s01"
"driving_01","176","8.8","720","480","driving_01_s01"
"driving_01","177","8.85","720","480","driving_01_s01"
"driving_01","178","8.9","720","480","driving_01_s01"
"driving_01","179","8.95","720","480","driving_01_s01"
"driving_01","180","9","720","480","driving_01_s01"
"driving_01","181","9.05","720","480","driving_01_s01"
"driving_01","182","9.1","720","480","driving_01_s01"
"driving_01","183","9.15","720","480","driving_01_s01"
"driving_01","184","9.2","720","480","driving_01_s01"
"driving_01","185","9.25","720","480","driving_01_s01"
"driving_01","186","9.3","720","480","driving_01_s01"
"driving_01","187","9.35","720","480","driving_01_s01"
"driving_01","188","9.4","720","480","driving_01_s01"
